title,summary,category
Memur ve emekli maaşına ek zam bekleyenlerin gözü Kabine kararlarında: Kabine toplantısı ne zaman? Emekli ve memura refah payı verilecek mi?,"3 Ocak 2025 tarihinde açıklanan memur ve emekliye yapılan zam oranları sonrası gözler Kabine Toplantısı konularına çevrildi. Toplantıda memura refah payı, en düşük emekli maaşına artış ihtimalleri de masada olacak.",Ekonomi
"Sahadaki kayıplar borsaya yansıdı, dünya devleri hayal kırıklığı yaşattı","Onu bu sezon beklentileri boşa çıkaran Borussia Dortmund yüzde 11,7 kayıpla takip etti.Dortmund, Alman Bundesliga'da altıncı sırada bulunuyor. Portekiz Süper Ligi'nden Sporting Lizbon ve Porto'nun hisseleri de değer kaybetti.",Ekonomi
BİM aktüel indirimleri 10 Ocak 2025: BİM markette bu haftaya özel yeni indirimli ürünler listesi,"BİM market, 10 Ocak 2025 tarihinde geçerli yeni indirimli aktüel ürünler kataloğunu resmi internet sitesi üzerinden duyurdu. BİM'de bu haftaya özel ankastre seti, çift yönlü ısıtıcı, tost makinesi, tüy toplama cihazı, yağmurluk ve balıkçı ekipmanları gibi birçok üründe yeni indirimler yer alıyor.",Ekonomi
Euro Bölgesi ekonomisi daraldı,"Verilere göre, Euro Bölgesi'nde aralıkta ekonomik faaliyet yeni iş ve istihdamdaki düşüşle geriledi. Ayrıca, Euro Bölgesi'nde kasımda 49,5 olan hizmet sektörü PMI da aralıkta 51,6'ya çıktı.",Ekonomi
"Pazarda kilosu 100 lira: ""40 yıldır balıkçıyım bu yıl ilk defa böyle sürdü""","Ortahisar ilçesinin Moloz mevkisindeki tezgahlarda, başta hamsi olmak üzere mezgit, zargan, sarı kanat, istavrit, somon, levrek, çipura ve alabalık tüketiciyle buluşturuluyor. Balıkçı Ahmet Çoğalmış ise sezonun çok güzel geçtiğini ifade ederek, ""40 yıldır balıkçıyım bu yıl ilk defa palamuttan sonra 1,5 ay daha hamsi sezonu sürdü. """,Ekonomi
KOBİ'lere iki yeni destek paketi,"KOSGEB'de gerçekleştirilen ""Büyüme ve Küreselleşme Destekleri Tanıtım Programı""nda konuşan Kacır, geçen yıl 57 bin işletmeye sağlanan destek tutarının 13,2 milyar lira olduğunu söyledi. İSTİHDAM KORUMA PROGRAMI   Öte yandan 1 milyon 200 bin kişinin çalıştığı konfeksiyon, tekstil, deri ve mobilya gibi emek yoğun sektörlerde istihdamı korumak için işletmelere destek verilecek.",Ekonomi
Türk Lirası'nın değeri 4 yılın zirvesinde,"Türkiye Cumhuriyet Merkez Bankası tarafından yayınlanan geçici verilere göre reel efektif döviz kuru endeksi, TÜFE bazında geçen ay bir önceki aya kıyasla 0,10 puan artışla 67,12 oldu. Böylece, TÜFE'ye göre Türk Lirası'nın reel değeri Şubat 2021'den bu yana en yüksek seviyesine ulaştı.",Ekonomi
Tapuda parmak izi dönemi başladı,"Tapu işlemi sırasında yeni çipli kimlik kartı cihaza yerleştiriliyor, işlem yaptıracak vatandaştan parmak izi alınıyor. Böylece işlem yapmak isteyen kişinin doğru kişi olup olmadığı sistemden anında teyit ediliyor.",Ekonomi
Kamu-Sen'den ek zam ve refah payı talebi,"Enflasyon rakamlarının açıklanması, memur ve emekli zamlarının belli olmasıyla umutlarını kaybettiklerini ifade eden Kahveci, Merkez Bankası tarafından 2025 yılı için enflasyonun en düşük yüzde 21 olarak tahmin edildiğini belirtti. Türkiye Kamu-Sen olarak memur ve emekli maaşlarının yeniden değerleme oranına güncellenmesini, üzerine refah payı eklenerek gerçek anlamda bir zamma kavuşturulmasını talep ediyoruz.",Ekonomi
HAK-İŞ'ten emeklilik tepkisi: Sistem acilen düzeltilmeli,"Dolasıyla bu hayatlarının baharında işe girmiş ve gerçekten bir ömür ülkesine, iş yerine hizmet etmiş, primini ödemiş, ödediği primle emeklilik hayali kurmuş, emekli olduktan sonra da kendilerine verilen maaşın asgari ücretin altında olması başka bir şekilde izah edilemez."" ""EMEKLİLİK SİSTEMİ DEĞİŞMELİ""   Asgari ücretin çok yüksek olmasının da doğru bir yaklaşım olmadığını belirten Arslan, emeklinin sisteminin değişmesi ve gözden geçirilmesi gerektiğini söyledi.",Ekonomi
